id,pwa_url,paper_url
150601,"https://programs.sigchi.org/chi/2024/program/content/150601","https://doi.org/10.1145/3613905.3650855"
150604,"https://programs.sigchi.org/chi/2024/program/content/150604","https://doi.org/10.1145/3613905.3650766"
150605,"https://programs.sigchi.org/chi/2024/program/content/150605","https://doi.org/10.1145/3613905.3650789"
150608,"https://programs.sigchi.org/chi/2024/program/content/150608","https://doi.org/10.1145/3613905.3651104"
150610,"https://programs.sigchi.org/chi/2024/program/content/150610","https://doi.org/10.1145/3613905.3651086"
150611,"https://programs.sigchi.org/chi/2024/program/content/150611","https://doi.org/10.1145/3613905.3650799"
150612,"https://programs.sigchi.org/chi/2024/program/content/150612","https://doi.org/10.1145/3613905.3650817"
150613,"https://programs.sigchi.org/chi/2024/program/content/150613","https://doi.org/10.1145/3613905.3650829"
150614,"https://programs.sigchi.org/chi/2024/program/content/150614","https://doi.org/10.1145/3613905.3650913"
150615,"https://programs.sigchi.org/chi/2024/program/content/150615","https://doi.org/10.1145/3613905.3650871"
150617,"https://programs.sigchi.org/chi/2024/program/content/150617","https://doi.org/10.1145/3613905.3650977"
150618,"https://programs.sigchi.org/chi/2024/program/content/150618","https://doi.org/10.1145/3613905.3651092"
150620,"https://programs.sigchi.org/chi/2024/program/content/150620","https://doi.org/10.1145/3613905.3650771"
150621,"https://programs.sigchi.org/chi/2024/program/content/150621","https://doi.org/10.1145/3613905.3650730"
150622,"https://programs.sigchi.org/chi/2024/program/content/150622","https://doi.org/10.1145/3613905.3651006"
150624,"https://programs.sigchi.org/chi/2024/program/content/150624","https://doi.org/10.1145/3613905.3650897"
150630,"https://programs.sigchi.org/chi/2024/program/content/150630","https://doi.org/10.1145/3613905.3651081"
150632,"https://programs.sigchi.org/chi/2024/program/content/150632","https://doi.org/10.1145/3613905.3650732"
150633,"https://programs.sigchi.org/chi/2024/program/content/150633","https://doi.org/10.1145/3613905.3650735"
150635,"https://programs.sigchi.org/chi/2024/program/content/150635","https://doi.org/10.1145/3613905.3651011"
150636,"https://programs.sigchi.org/chi/2024/program/content/150636","https://doi.org/10.1145/3613905.3651032"
150637,"https://programs.sigchi.org/chi/2024/program/content/150637","https://doi.org/10.1145/3613905.3650957"
150638,"https://programs.sigchi.org/chi/2024/program/content/150638","https://doi.org/10.1145/3613905.3650932"
150640,"https://programs.sigchi.org/chi/2024/program/content/150640","https://doi.org/10.1145/3613905.3650811"
150641,"https://programs.sigchi.org/chi/2024/program/content/150641","https://doi.org/10.1145/3613905.3651038"
150642,"https://programs.sigchi.org/chi/2024/program/content/150642","https://doi.org/10.1145/3613905.3650873"
150646,"https://programs.sigchi.org/chi/2024/program/content/150646","https://doi.org/10.1145/3613905.3650944"
150649,"https://programs.sigchi.org/chi/2024/program/content/150649","https://doi.org/10.1145/3613905.3651046"
150651,"https://programs.sigchi.org/chi/2024/program/content/150651","https://doi.org/10.1145/3613905.3650747"
150656,"https://programs.sigchi.org/chi/2024/program/content/150656","https://doi.org/10.1145/3613905.3650867"
150657,"https://programs.sigchi.org/chi/2024/program/content/150657","https://doi.org/10.1145/3613905.3651050"
150658,"https://programs.sigchi.org/chi/2024/program/content/150658","https://doi.org/10.1145/3613905.3650851"
150663,"https://programs.sigchi.org/chi/2024/program/content/150663","https://doi.org/10.1145/3613905.3650927"
150664,"https://programs.sigchi.org/chi/2024/program/content/150664","https://doi.org/10.1145/3613905.3650740"
150666,"https://programs.sigchi.org/chi/2024/program/content/150666","https://doi.org/10.1145/3613905.3650818"
150667,"https://programs.sigchi.org/chi/2024/program/content/150667","https://doi.org/10.1145/3613905.3650861"
150669,"https://programs.sigchi.org/chi/2024/program/content/150669","https://doi.org/10.1145/3613905.3650969"
150670,"https://programs.sigchi.org/chi/2024/program/content/150670","https://doi.org/10.1145/3613905.3650894"
150671,"https://programs.sigchi.org/chi/2024/program/content/150671","https://doi.org/10.1145/3613905.3650772"
150674,"https://programs.sigchi.org/chi/2024/program/content/150674","https://doi.org/10.1145/3613905.3651069"
150678,"https://programs.sigchi.org/chi/2024/program/content/150678","https://doi.org/10.1145/3613905.3650793"
150680,"https://programs.sigchi.org/chi/2024/program/content/150680","https://doi.org/10.1145/3613905.3650936"
150682,"https://programs.sigchi.org/chi/2024/program/content/150682","https://doi.org/10.1145/3613905.3650920"
150683,"https://programs.sigchi.org/chi/2024/program/content/150683","https://doi.org/10.1145/3613905.3650915"
150686,"https://programs.sigchi.org/chi/2024/program/content/150686","https://doi.org/10.1145/3613905.3650938"
150687,"https://programs.sigchi.org/chi/2024/program/content/150687","https://doi.org/10.1145/3613905.3650779"
150689,"https://programs.sigchi.org/chi/2024/program/content/150689","https://doi.org/10.1145/3613905.3651091"
150691,"https://programs.sigchi.org/chi/2024/program/content/150691","https://doi.org/10.1145/3613905.3650922"
150692,"https://programs.sigchi.org/chi/2024/program/content/150692","https://doi.org/10.1145/3613905.3650800"
150693,"https://programs.sigchi.org/chi/2024/program/content/150693","https://doi.org/10.1145/3613905.3650764"
150694,"https://programs.sigchi.org/chi/2024/program/content/150694","https://doi.org/10.1145/3613905.3650845"
150695,"https://programs.sigchi.org/chi/2024/program/content/150695","https://doi.org/10.1145/3613905.3650822"
150696,"https://programs.sigchi.org/chi/2024/program/content/150696","https://doi.org/10.1145/3613905.3650980"
150697,"https://programs.sigchi.org/chi/2024/program/content/150697","https://doi.org/10.1145/3613905.3650937"
150700,"https://programs.sigchi.org/chi/2024/program/content/150700","https://doi.org/10.1145/3613905.3650757"
150701,"https://programs.sigchi.org/chi/2024/program/content/150701","https://doi.org/10.1145/3613905.3650989"
150702,"https://programs.sigchi.org/chi/2024/program/content/150702","https://doi.org/10.1145/3613905.3651039"
150703,"https://programs.sigchi.org/chi/2024/program/content/150703","https://doi.org/10.1145/3613905.3651105"
